fold,asset,lstm_selected_context,mae_std,mae_range,mae_min,mae_max,mae_skill_std,mae_skill_range,mae_skill_min,mae_skill_max,da_std,da_range,da_min,da_max,mae_skill_sign_change,generation_timestamp_utc,experiment_spec_version,experiment_spec_sha256,model_preregistration_path,model_preregistration_sha256,baseline_prediction_sha256,lightgbm_prediction_sha256,lstm_prediction_sha256,source_tree_sha256,source_revision
D3,MSFT,LSTM_21,0.00019450865270211171,0.00041372119116202255,0.018673349753468516,0.019087070944630538,0.011317701963326441,0.02407282695364299,-0.11060241949766492,-0.086529592544021927,0.01466847412641069,0.035856573705179251,0.47808764940239046,0.51394422310756971,False,2026-09-14T15:00:42.828778Z,1.1,4a29b96a7c826634d2dede63220c378737c0e545a7e733491a0a7002d69fc5b9,docs/MODEL_PREREGISTRATION.md,be04b9ce8457c5b26a8042f548eccce8ddb4b5d1b86a1404a43ef1bb1a52d613,e09e4909e9af7b7836c5e0b2c8d7b320d2848d5da9b33b8c9492421e0a108bb4,36445836777cba815bc240c0c7229838cdc2177e94f50bac7905b8e2a9ace0c7,f624bc00c41a430c6e79188fe8b10a1bc03714971719789d5162446c70c7df60,fe37172dca930c566701f5a8508952705ecb7895784baaae60fabeda519920e3,not_available_repository_has_no_git_metadata
D3,NVDA,LSTM_21,0.00025832503370172203,0.00062080652463253339,0.032768927539258162,0.033389734063890696,0.0080641037477526961,0.019379647996868421,-0.042323601947104494,-0.022943953950236073,0.0049690005136440079,0.01195219123505975,0.48605577689243029,0.49800796812749004,False,2026-09-14T15:00:42.828778Z,1.1,4a29b96a7c826634d2dede63220c378737c0e545a7e733491a0a7002d69fc5b9,docs/MODEL_PREREGISTRATION.md,be04b9ce8457c5b26a8042f548eccce8ddb4b5d1b86a1404a43ef1bb1a52d613,e09e4909e9af7b7836c5e0b2c8d7b320d2848d5da9b33b8c9492421e0a108bb4,36445836777cba815bc240c0c7229838cdc2177e94f50bac7905b8e2a9ace0c7,f624bc00c41a430c6e79188fe8b10a1bc03714971719789d5162446c70c7df60,fe37172dca930c566701f5a8508952705ecb7895784baaae60fabeda519920e3,not_available_repository_has_no_git_metadata
D4,AAPL,LSTM_63,0.00030948521992502293,0.00066718796212368245,0.0099181818768303738,0.010585369838954056,0.03147270050653745,0.0678488197871705,-0.076465540981394131,-0.008616721194223631,0.0097979589711327201,0.024000000000000021,0.51200000000000001,0.53600000000000003,False,2026-09-14T15:00:42.828778Z,1.1,4a29b96a7c826634d2dede63220c378737c0e545a7e733491a0a7002d69fc5b9,docs/MODEL_PREREGISTRATION.md,be04b9ce8457c5b26a8042f548eccce8ddb4b5d1b86a1404a43ef1bb1a52d613,e09e4909e9af7b7836c5e0b2c8d7b320d2848d5da9b33b8c9492421e0a108bb4,36445836777cba815bc240c0c7229838cdc2177e94f50bac7905b8e2a9ace0c7,f624bc00c41a430c6e79188fe8b10a1bc03714971719789d5162446c70c7df60,fe37172dca930c566701f5a8508952705ecb7895784baaae60fabeda519920e3,not_available_repository_has_no_git_metadata
D4,GOOGL,LSTM_63,0.00017101882732416251,0.00038356338490982099,0.013728602732784782,0.014112166117694603,0.01230101391153207,0.027588883677624354,-0.015057549228595812,0.012531334449028542,0.023170862929310337,0.055999999999999939,0.52400000000000002,0.57999999999999996,True,2026-09-14T15:00:42.828778Z,1.1,4a29b96a7c826634d2dede63220c378737c0e545a7e733491a0a7002d69fc5b9,docs/MODEL_PREREGISTRATION.md,be04b9ce8457c5b26a8042f548eccce8ddb4b5d1b86a1404a43ef1bb1a52d613,e09e4909e9af7b7836c5e0b2c8d7b320d2848d5da9b33b8c9492421e0a108bb4,36445836777cba815bc240c0c7229838cdc2177e94f50bac7905b8e2a9ace0c7,f624bc00c41a430c6e79188fe8b10a1bc03714971719789d5162446c70c7df60,fe37172dca930c566701f5a8508952705ecb7895784baaae60fabeda519920e3,not_available_repository_has_no_git_metadata
D4,MSFT,LSTM_63,7.9260358657167289e-05,0.00019277322245181243,0.012043454572251555,0.012236227794703368,0.0065740538606278362,0.015989096803947001,-0.014903565112964756,0.0010855316909822443,0.008640987597877155,0.020000000000000018,0.52800000000000002,0.54800000000000004,True,2026-09-14T15:00:42.828778Z,1.1,4a29b96a7c826634d2dede63220c378737c0e545a7e733491a0a7002d69fc5b9,docs/MODEL_PREREGISTRATION.md,be04b9ce8457c5b26a8042f548eccce8ddb4b5d1b86a1404a43ef1bb1a52d613,e09e4909e9af7b7836c5e0b2c8d7b320d2848d5da9b33b8c9492421e0a108bb4,36445836777cba815bc240c0c7229838cdc2177e94f50bac7905b8e2a9ace0c7,f624bc00c41a430c6e79188fe8b10a1bc03714971719789d5162446c70c7df60,fe37172dca930c566701f5a8508952705ecb7895784baaae60fabeda519920e3,not_available_repository_has_no_git_metadata
D4,NVDA,LSTM_63,0.00095887454029667434,0.0020363137995782245,0.021495415825773471,0.023531729625351695,0.045321463978958837,0.096246921405262587,-0.1122335527315208,-0.015986631326258216,0.040835714216302825,0.10000000000000003,0.42399999999999999,0.52400000000000002,False,2026-09-14T15:00:42.828778Z,1.1,4a29b96a7c826634d2dede63220c378737c0e545a7e733491a0a7002d69fc5b9,docs/MODEL_PREREGISTRATION.md,be04b9ce8457c5b26a8042f548eccce8ddb4b5d1b86a1404a43ef1bb1a52d613,e09e4909e9af7b7836c5e0b2c8d7b320d2848d5da9b33b8c9492421e0a108bb4,36445836777cba815bc240c0c7229838cdc2177e94f50bac7905b8e2a9ace0c7,f624bc00c41a430c6e79188fe8b10a1bc03714971719789d5162446c70c7df60,fe37172dca930c566701f5a8508952705ecb7895784baaae60fabeda519920e3,not_available_repository_has_no_git_metadata
D5,AAPL,LSTM_21,0.00039515887420517537,0.00090624032073316832,0.010364578258792575,0.011270818579525744,0.037897499136156955,0.086912490175542811,-0.080921789344859496,0.0059907008306833154,0.042780321769302201,0.1031746031746032,0.45238095238095238,0.55555555555555558,True,2026-09-14T15:00:42.828778Z,1.1,4a29b96a7c826634d2dede63220c378737c0e545a7e733491a0a7002d69fc5b9,docs/MODEL_PREREGISTRATION.md,be04b9ce8457c5b26a8042f548eccce8ddb4b5d1b86a1404a43ef1bb1a52d613,e09e4909e9af7b7836c5e0b2c8d7b320d2848d5da9b33b8c9492421e0a108bb4,36445836777cba815bc240c0c7229838cdc2177e94f50bac7905b8e2a9ace0c7,f624bc00c41a430c6e79188fe8b10a1bc03714971719789d5162446c70c7df60,fe37172dca930c566701f5a8508952705ecb7895784baaae60fabeda519920e3,not_available_repository_has_no_git_metadata
D5,GOOGL,LSTM_21,4.9675123244678753e-05,0.00012112283965261608,0.012712924127008883,0.012834046966661499,0.0038944782552602464,0.0094959052827919832,-0.0061760006605642292,0.003319904622227754,0.0085724083312273495,0.019841269841269882,0.50793650793650791,0.52777777777777779,True,2026-09-14T15:00:42.828778Z,1.1,4a29b96a7c826634d2dede63220c378737c0e545a7e733491a0a7002d69fc5b9,docs/MODEL_PREREGISTRATION.md,be04b9ce8457c5b26a8042f548eccce8ddb4b5d1b86a1404a43ef1bb1a52d613,e09e4909e9af7b7836c5e0b2c8d7b320d2848d5da9b33b8c9492421e0a108bb4,36445836777cba815bc240c0c7229838cdc2177e94f50bac7905b8e2a9ace0c7,f624bc00c41a430c6e79188fe8b10a1bc03714971719789d5162446c70c7df60,fe37172dca930c566701f5a8508952705ecb7895784baaae60fabeda519920e3,not_available_repository_has_no_git_metadata
D5,MSFT,LSTM_21,0.00033068115538153141,0.00080829235971822955,0.0095920237485929462,0.010400316108311176,0.034940169696990445,0.085405145572178265,-0.098909943348501894,-0.013504797776323629,0.03191094730638841,0.075396825396825407,0.45634920634920634,0.53174603174603174,False,2026-09-14T15:00:42.828778Z,1.1,4a29b96a7c826634d2dede63220c378737c0e545a7e733491a0a7002d69fc5b9,docs/MODEL_PREREGISTRATION.md,be04b9ce8457c5b26a8042f548eccce8ddb4b5d1b86a1404a43ef1bb1a52d613,e09e4909e9af7b7836c5e0b2c8d7b320d2848d5da9b33b8c9492421e0a108bb4,36445836777cba815bc240c0c7229838cdc2177e94f50bac7905b8e2a9ace0c7,f624bc00c41a430c6e79188fe8b10a1bc03714971719789d5162446c70c7df60,fe37172dca930c566701f5a8508952705ecb7895784baaae60fabeda519920e3,not_available_repository_has_no_git_metadata
D5,NVDA,LSTM_21,0.00015990612698753344,0.00036019967851027082,0.024546415340281152,0.024906615018791423,0.0064524559146789569,0.014534605958221092,-0.0050198727229595619,0.0095147332352615299,0.014123119380993801,0.031746031746031744,0.5357142857142857,0.56746031746031744,True,2026-09-14T15:00:42.828778Z,1.1,4a29b96a7c826634d2dede63220c378737c0e545a7e733491a0a7002d69fc5b9,docs/MODEL_PREREGISTRATION.md,be04b9ce8457c5b26a8042f548eccce8ddb4b5d1b86a1404a43ef1bb1a52d613,e09e4909e9af7b7836c5e0b2c8d7b320d2848d5da9b33b8c9492421e0a108bb4,36445836777cba815bc240c0c7229838cdc2177e94f50bac7905b8e2a9ace0c7,f624bc00c41a430c6e79188fe8b10a1bc03714971719789d5162446c70c7df60,fe37172dca930c566701f5a8508952705ecb7895784baaae60fabeda519920e3,not_available_repository_has_no_git_metadata
