fold,asset,n_observations,baseline_mae,baseline_rmse,baseline_direction_persistence_da,actual_positive_class_balance,lightgbm_selected_config,lightgbm_mae,lightgbm_rmse,lightgbm_da,lightgbm_mae_skill,lightgbm_da_difference,lstm_selected_context,lstm_seed_mean_mae,lstm_seed_std_mae,lstm_seed_mean_rmse,lstm_seed_mean_da,lstm_seed_std_da,lstm_seed_mean_mae_skill,lstm_seed_std_mae_skill,lstm_seed_mean_da_difference,generation_timestamp_utc,experiment_spec_version,experiment_spec_sha256,model_preregistration_path,model_preregistration_sha256,baseline_prediction_sha256,lightgbm_prediction_sha256,lstm_prediction_sha256,source_tree_sha256,source_revision
D3,MSFT,251,0.017186232093086729,0.022244715167999203,0.50597609561752988,0.46215139442231074,LGBM_01,0.017345079159551812,0.022356000773373349,0.46215139442231074,-0.0092426929652009715,-0.04382470119521914,LSTM_21,0.018948423539269246,0.00019450865270211171,0.024205921152614718,0.4953519256308101,0.01466847412641069,-0.10253506624592672,0.011317701963326441,-0.010624169986719778,2026-09-14T15:00:42.828778Z,1.1,4a29b96a7c826634d2dede63220c378737c0e545a7e733491a0a7002d69fc5b9,docs/MODEL_PREREGISTRATION.md,be04b9ce8457c5b26a8042f548eccce8ddb4b5d1b86a1404a43ef1bb1a52d613,e09e4909e9af7b7836c5e0b2c8d7b320d2848d5da9b33b8c9492421e0a108bb4,36445836777cba815bc240c0c7229838cdc2177e94f50bac7905b8e2a9ace0c7,f624bc00c41a430c6e79188fe8b10a1bc03714971719789d5162446c70c7df60,fe37172dca930c566701f5a8508952705ecb7895784baaae60fabeda519920e3,not_available_repository_has_no_git_metadata
D3,NVDA,251,0.032033942243577009,0.039808021439038756,0.55776892430278879,0.48605577689243029,LGBM_01,0.032089297025757954,0.039992930399579969,0.48605577689243029,-0.0017280040576974631,-0.071713147410358502,LSTM_21,0.033114674586029937,0.00025832503370172203,0.041372453314590281,0.49136786188579018,0.0049690005136440079,-0.033737100923618701,0.0080641037477526961,-0.066401062416998613,2026-09-14T15:00:42.828778Z,1.1,4a29b96a7c826634d2dede63220c378737c0e545a7e733491a0a7002d69fc5b9,docs/MODEL_PREREGISTRATION.md,be04b9ce8457c5b26a8042f548eccce8ddb4b5d1b86a1404a43ef1bb1a52d613,e09e4909e9af7b7836c5e0b2c8d7b320d2848d5da9b33b8c9492421e0a108bb4,36445836777cba815bc240c0c7229838cdc2177e94f50bac7905b8e2a9ace0c7,f624bc00c41a430c6e79188fe8b10a1bc03714971719789d5162446c70c7df60,fe37172dca930c566701f5a8508952705ecb7895784baaae60fabeda519920e3,not_available_repository_has_no_git_metadata
D4,AAPL,250,0.0098334497816842011,0.012849835886383006,0.5,0.56000000000000005,LGBM_03,0.0097661930033305453,0.01279212278040965,0.56000000000000005,0.0068395913791036156,0.060000000000000053,LSTM_63,0.010147874128956694,0.00030948521992502293,0.013212358590223095,0.52400000000000002,0.0097979589711327201,-0.031974978695486822,0.03147270050653745,0.024000000000000021,2026-09-14T15:00:42.828778Z,1.1,4a29b96a7c826634d2dede63220c378737c0e545a7e733491a0a7002d69fc5b9,docs/MODEL_PREREGISTRATION.md,be04b9ce8457c5b26a8042f548eccce8ddb4b5d1b86a1404a43ef1bb1a52d613,e09e4909e9af7b7836c5e0b2c8d7b320d2848d5da9b33b8c9492421e0a108bb4,36445836777cba815bc240c0c7229838cdc2177e94f50bac7905b8e2a9ace0c7,f624bc00c41a430c6e79188fe8b10a1bc03714971719789d5162446c70c7df60,fe37172dca930c566701f5a8508952705ecb7895784baaae60fabeda519920e3,not_available_repository_has_no_git_metadata
D4,GOOGL,250,0.013902823665928399,0.019200765501711192,0.504,0.54400000000000004,LGBM_03,0.013843959914294043,0.019125876527497865,0.54400000000000004,0.0042339421867669813,0.040000000000000036,LSTM_63,0.013871767071040023,0.00017101882732416251,0.019300486365178782,0.55466666666666675,0.023170862929310337,0.0022338336178775084,0.01230101391153207,0.050666666666666672,2026-09-14T15:00:42.828778Z,1.1,4a29b96a7c826634d2dede63220c378737c0e545a7e733491a0a7002d69fc5b9,docs/MODEL_PREREGISTRATION.md,be04b9ce8457c5b26a8042f548eccce8ddb4b5d1b86a1404a43ef1bb1a52d613,e09e4909e9af7b7836c5e0b2c8d7b320d2848d5da9b33b8c9492421e0a108bb4,36445836777cba815bc240c0c7229838cdc2177e94f50bac7905b8e2a9ace0c7,f624bc00c41a430c6e79188fe8b10a1bc03714971719789d5162446c70c7df60,fe37172dca930c566701f5a8508952705ecb7895784baaae60fabeda519920e3,not_available_repository_has_no_git_metadata
D4,MSFT,250,0.012056542331035563,0.015798793382046459,0.51600000000000001,0.55200000000000005,LGBM_03,0.01198817130181379,0.015718253861988239,0.55200000000000005,0.0056708654392375601,0.036000000000000032,LSTM_63,0.012146497705544332,7.9260358657167289e-05,0.01595050465063887,0.53600000000000003,0.008640987597877155,-0.0074611254237633524,0.0065740538606278362,0.020000000000000018,2026-09-14T15:00:42.828778Z,1.1,4a29b96a7c826634d2dede63220c378737c0e545a7e733491a0a7002d69fc5b9,docs/MODEL_PREREGISTRATION.md,be04b9ce8457c5b26a8042f548eccce8ddb4b5d1b86a1404a43ef1bb1a52d613,e09e4909e9af7b7836c5e0b2c8d7b320d2848d5da9b33b8c9492421e0a108bb4,36445836777cba815bc240c0c7229838cdc2177e94f50bac7905b8e2a9ace0c7,f624bc00c41a430c6e79188fe8b10a1bc03714971719789d5162446c70c7df60,fe37172dca930c566701f5a8508952705ecb7895784baaae60fabeda519920e3,not_available_repository_has_no_git_metadata
D4,NVDA,250,0.021157183729586658,0.029806429689948621,0.55600000000000005,0.56799999999999995,LGBM_03,0.02092623312929056,0.029532702912310513,0.54800000000000004,0.010915942464172712,-0.0080000000000000071,LSTM_63,0.02217567870694355,0.00095887454029667434,0.030988041980937329,0.47333333333333333,0.040835714216302825,-0.048139440030130487,0.045321463978958837,-0.082666666666666722,2026-09-14T15:00:42.828778Z,1.1,4a29b96a7c826634d2dede63220c378737c0e545a7e733491a0a7002d69fc5b9,docs/MODEL_PREREGISTRATION.md,be04b9ce8457c5b26a8042f548eccce8ddb4b5d1b86a1404a43ef1bb1a52d613,e09e4909e9af7b7836c5e0b2c8d7b320d2848d5da9b33b8c9492421e0a108bb4,36445836777cba815bc240c0c7229838cdc2177e94f50bac7905b8e2a9ace0c7,f624bc00c41a430c6e79188fe8b10a1bc03714971719789d5162446c70c7df60,fe37172dca930c566701f5a8508952705ecb7895784baaae60fabeda519920e3,not_available_repository_has_no_git_metadata
D5,AAPL,252,0.01042704355729282,0.014245092785302676,0.53174603174603174,0.56349206349206349,LGBM_01,0.010377142696272412,0.014220464774960591,0.56349206349206349,0.0047857152169952233,0.031746031746031744,LSTM_21,0.010719535418553002,0.00039515887420517537,0.014610017442233711,0.49867724867724866,0.042780321769302201,-0.028051274520245879,0.037897499136156955,-0.03306878306878306,2026-09-14T15:00:42.828778Z,1.1,4a29b96a7c826634d2dede63220c378737c0e545a7e733491a0a7002d69fc5b9,docs/MODEL_PREREGISTRATION.md,be04b9ce8457c5b26a8042f548eccce8ddb4b5d1b86a1404a43ef1bb1a52d613,e09e4909e9af7b7836c5e0b2c8d7b320d2848d5da9b33b8c9492421e0a108bb4,36445836777cba815bc240c0c7229838cdc2177e94f50bac7905b8e2a9ace0c7,f624bc00c41a430c6e79188fe8b10a1bc03714971719789d5162446c70c7df60,fe37172dca930c566701f5a8508952705ecb7895784baaae60fabeda519920e3,not_available_repository_has_no_git_metadata
D5,GOOGL,252,0.012755270408194814,0.017635075694171842,0.52380952380952384,0.59126984126984128,LGBM_01,0.012451104699920707,0.017488535630761186,0.58333333333333337,0.023846276757777729,0.059523809523809534,LSTM_21,0.012776839213121644,4.9675123244678753e-05,0.017710113557703865,0.51587301587301582,0.0085724083312273495,-0.0016909719854291867,0.0038944782552602464,-0.0079365079365079829,2026-09-14T15:00:42.828778Z,1.1,4a29b96a7c826634d2dede63220c378737c0e545a7e733491a0a7002d69fc5b9,docs/MODEL_PREREGISTRATION.md,be04b9ce8457c5b26a8042f548eccce8ddb4b5d1b86a1404a43ef1bb1a52d613,e09e4909e9af7b7836c5e0b2c8d7b320d2848d5da9b33b8c9492421e0a108bb4,36445836777cba815bc240c0c7229838cdc2177e94f50bac7905b8e2a9ace0c7,f624bc00c41a430c6e79188fe8b10a1bc03714971719789d5162446c70c7df60,fe37172dca930c566701f5a8508952705ecb7895784baaae60fabeda519920e3,not_available_repository_has_no_git_metadata
D5,MSFT,252,0.0094642114863573313,0.012625534427869877,0.52777777777777779,0.5357142857142857,LGBM_01,0.0095588829030841104,0.012738797402838262,0.51190476190476186,-0.010003096070205997,-0.015873015873015928,LSTM_21,0.010011345622746784,0.00033068115538153141,0.013217156981935459,0.5,0.03191094730638841,-0.057810852724302343,0.034940169696990445,-0.027777777777777807,2026-09-14T15:00:42.828778Z,1.1,4a29b96a7c826634d2dede63220c378737c0e545a7e733491a0a7002d69fc5b9,docs/MODEL_PREREGISTRATION.md,be04b9ce8457c5b26a8042f548eccce8ddb4b5d1b86a1404a43ef1bb1a52d613,e09e4909e9af7b7836c5e0b2c8d7b320d2848d5da9b33b8c9492421e0a108bb4,36445836777cba815bc240c0c7229838cdc2177e94f50bac7905b8e2a9ace0c7,f624bc00c41a430c6e79188fe8b10a1bc03714971719789d5162446c70c7df60,fe37172dca930c566701f5a8508952705ecb7895784baaae60fabeda519920e3,not_available_repository_has_no_git_metadata
D5,NVDA,252,0.024782211471411471,0.032971145117216501,0.49206349206349204,0.55555555555555558,LGBM_01,0.024603051559967296,0.032788735368621626,0.55555555555555558,0.0072293754595247339,0.063492063492063544,LSTM_21,0.024770933651941749,0.00015990612698753344,0.03306960927488365,0.54761904761904756,0.014123119380993801,0.00045507720256247425,0.0064524559146789569,0.055555555555555559,2026-09-14T15:00:42.828778Z,1.1,4a29b96a7c826634d2dede63220c378737c0e545a7e733491a0a7002d69fc5b9,docs/MODEL_PREREGISTRATION.md,be04b9ce8457c5b26a8042f548eccce8ddb4b5d1b86a1404a43ef1bb1a52d613,e09e4909e9af7b7836c5e0b2c8d7b320d2848d5da9b33b8c9492421e0a108bb4,36445836777cba815bc240c0c7229838cdc2177e94f50bac7905b8e2a9ace0c7,f624bc00c41a430c6e79188fe8b10a1bc03714971719789d5162446c70c7df60,fe37172dca930c566701f5a8508952705ecb7895784baaae60fabeda519920e3,not_available_repository_has_no_git_metadata
