run_id,fold,model_config_id,context_length,aapl_seed_mean_mae,msft_seed_mean_mae,googl_seed_mean_mae,nvda_seed_mean_mae,aapl_seed_mean_rmse,msft_seed_mean_rmse,googl_seed_mean_rmse,nvda_seed_mean_rmse,macro_validation_mae,macro_validation_rmse,primary_rank,within_practical_tie,selected,selection_reason
phase2f_lstm_dev_9352da6b4340,D1,LSTM_21,21,0.012575172470129263,0.012060124605389237,0.012901846918972086,0.018615034836262499,0.018083261142088265,0.01586906270567634,0.017624554590546692,0.02637478335307741,0.014038044707688272,0.019487915447847177,2,False,False,not_selected
phase2f_lstm_dev_9352da6b4340,D1,LSTM_63,63,0.011977542624331291,0.010533996631387729,0.010486136399353556,0.018678163240938423,0.017198202705154552,0.013931300556466644,0.01529444752852255,0.026340778940653526,0.012918959724002751,0.018191182432699318,1,True,True,lowest_macro_validation_mae
phase2f_lstm_dev_9352da6b4340,D2,LSTM_21,21,0.02027899709870333,0.018960223237074952,0.01663812185519627,0.025006407684412185,0.029206777187493645,0.027472286868205947,0.02417863155372384,0.036172860125546318,0.020220937468846685,0.02925763893374244,2,False,False,not_selected
phase2f_lstm_dev_9352da6b4340,D2,LSTM_63,63,0.020563527114056429,0.018603945769667465,0.016760677177854261,0.02458448883364844,0.029436263685600844,0.027259272076257789,0.024591996816536014,0.035519570221611931,0.02012815972380665,0.029201775700001646,1,True,True,lowest_macro_validation_mae
phase2f_lstm_dev_9352da6b4340,D3,LSTM_21,21,0.012128575623801369,0.01037918513381156,0.010953033492480349,0.021483595138224749,0.015822312385947602,0.013408622427341388,0.015219939722974309,0.028170763569746671,0.013736097347079507,0.018155409526502492,1,True,True,lowest_macro_validation_mae
phase2f_lstm_dev_9352da6b4340,D3,LSTM_63,63,0.012180477529159002,0.010441851346099587,0.010934963867367952,0.021445075912178105,0.015877398329211579,0.013416740557640604,0.015119648834269722,0.028135929614286518,0.013750592163701161,0.018137429333852106,2,False,False,not_selected
phase2f_lstm_dev_9352da6b4340,D4,LSTM_21,21,0.017801350268526736,0.018525022802031711,0.019482114241706764,0.032563967445546717,0.022680063394301592,0.023480881110537515,0.025171318994423181,0.040648002873365917,0.022093113689452978,0.02799506659315705,2,False,False,not_selected
phase2f_lstm_dev_9352da6b4340,D4,LSTM_63,63,0.017803605213134958,0.018377503322609477,0.019298072413293704,0.032486012630511478,0.022777008111810774,0.023525778202932487,0.025060131418000477,0.040729466950830566,0.021991298394887407,0.028023096170893574,1,True,True,lowest_macro_validation_mae
phase2f_lstm_dev_9352da6b4340,D5,LSTM_21,21,0.0098721628995408536,0.012096097456502322,0.013672253308788641,0.021103789916596727,0.012979895438973011,0.015860748577302977,0.019056878626447084,0.029981903315188015,0.014186075895357137,0.019469856489477771,1,True,True,lowest_macro_validation_mae
phase2f_lstm_dev_9352da6b4340,D5,LSTM_63,63,0.0098963740060814109,0.012086994687068605,0.013821094997780165,0.021027465591852281,0.013005993589646499,0.01586224276182455,0.019224309059613778,0.029736735726428581,0.014207982320695617,0.019457320284378351,2,False,False,not_selected
