run_id,fold,winning_model_config_id,context_length,asset,seed,best_epoch,candidate_validation_mae,candidate_checkpoint_identifier
phase2f_lstm_dev_9352da6b4340,D3,LSTM_21,21,GOOGL,31415,31,0.011028349565412288,02b9caeecf15ba68c130056f3d8128727b8261c926878ae41c3e2ab5eb3cbbc6
phase2f_lstm_dev_9352da6b4340,D3,LSTM_21,21,MSFT,1729,14,0.010432509404063961,b0db162d06ab47bbb4aa2d656ab332d2629636920f7f4876d99801672e896999
phase2f_lstm_dev_9352da6b4340,D3,LSTM_21,21,MSFT,2718,21,0.010229792443198445,df914e39b84f367fe8d0adbf96ac7228a26418588cc2ae969cd792e384c54b4e
phase2f_lstm_dev_9352da6b4340,D3,LSTM_21,21,MSFT,31415,27,0.010475253554172273,54baab6bd3dc81aa7eb72a83bae7f81bd7b29af0db8339fc110bd44fe2f7a0a2
phase2f_lstm_dev_9352da6b4340,D3,LSTM_21,21,NVDA,1729,40,0.021593406231471501,3b3739e4e63c7f136635b1c2b571b5ec6cfb3ba96513d6918196cd0b152fb703
phase2f_lstm_dev_9352da6b4340,D3,LSTM_21,21,NVDA,2718,15,0.021405431518187037,da9437d2eacc944b6b3c2162b5ac9367d3b1f7665a8a4ad172913c471a2a7b4a
phase2f_lstm_dev_9352da6b4340,D3,LSTM_21,21,NVDA,31415,19,0.021451947665015708,0b3ad2f21d602dc7719653e438e72397d991dfd5c796240460eab54f1624ebc9
phase2f_lstm_dev_9352da6b4340,D4,LSTM_63,63,AAPL,1729,23,0.017652917285031218,091138463da3299de1d2f5d29b112ab523a6e260dd6ef49dca5acaf3af2aaac8
phase2f_lstm_dev_9352da6b4340,D4,LSTM_63,63,AAPL,2718,27,0.018095918849640038,9066a2d675ad5cf4f47319dbb07d08ffbfa17d011fc5c7fefbca89df021a5ce3
phase2f_lstm_dev_9352da6b4340,D4,LSTM_63,63,AAPL,31415,22,0.017661979504733624,6169ef967dbf202f7a264fdd1cdd86c3f54daefa49e526a95f8c2b4d66ac63e2
phase2f_lstm_dev_9352da6b4340,D4,LSTM_63,63,GOOGL,1729,16,0.019253605310791226,02c6b4d1fb1a0c3da7dc8ef51dac35089728bd9a18b7b4af9f6c024ea74f5324
phase2f_lstm_dev_9352da6b4340,D4,LSTM_63,63,GOOGL,2718,28,0.019098722452921161,ece49c03358859cc1d6bd0c3725e53f7463f21bdc03ef4b1ed21d184af89c581
phase2f_lstm_dev_9352da6b4340,D4,LSTM_63,63,GOOGL,31415,18,0.019541889476168722,540540e18e41cc4de97c7c56be64d7480d777f43d136679e68a14f2d4cb398b0
phase2f_lstm_dev_9352da6b4340,D4,LSTM_63,63,MSFT,1729,26,0.018061771827406228,bbf9567d5471c885bf8663504f45911117bce4209397ed8a34810a382311f127
phase2f_lstm_dev_9352da6b4340,D4,LSTM_63,63,MSFT,2718,20,0.018702813387007557,30b32004afb0194643deec6eb788640460a40998afd48fb558f84b69cecec4b0
phase2f_lstm_dev_9352da6b4340,D4,LSTM_63,63,MSFT,31415,20,0.018367924753414647,fc62ef4dda10ea743342db3eaad6b09fc823ef074a3917e9bfa45da2aca2529a
phase2f_lstm_dev_9352da6b4340,D4,LSTM_63,63,NVDA,1729,17,0.03223279529658496,f620cfda243a26fa005b0b4baddedf4a2d80a11b87083d257b28720d7be77788
phase2f_lstm_dev_9352da6b4340,D4,LSTM_63,63,NVDA,2718,7,0.032585354765861593,8ab5e38d9c17c95544ff9f8e1ff9e813f23f166613c5ee1743795becb9e8cbf7
phase2f_lstm_dev_9352da6b4340,D4,LSTM_63,63,NVDA,31415,15,0.032639887829087867,e59db1143d459c8e3ffcb8e04dfd836c63889734c0a53854c9a087c75c0def2c
phase2f_lstm_dev_9352da6b4340,D5,LSTM_21,21,AAPL,1729,21,0.0097722159862314584,4f52cce18608e85110df55eedf0a1c3fc91dda10dc27e6aa28f31f12d080e5a5
phase2f_lstm_dev_9352da6b4340,D5,LSTM_21,21,AAPL,2718,23,0.0098294071050622732,03c031f59e5b65f6b028d11f0012fae4176c71628f37907f93aa3866bfb76b66
phase2f_lstm_dev_9352da6b4340,D5,LSTM_21,21,AAPL,31415,23,0.010014865607328829,ea208ed90eae5c8c58c13f6e2f65c4b632814c17fbb9f7b0f2bc41de069c7983
phase2f_lstm_dev_9352da6b4340,D5,LSTM_21,21,GOOGL,1729,42,0.013693392350425711,4f1a0bcdfb5a2f434f8842ef7b7a4a72dede14a58c4ff6e21dc29933a810bb48
phase2f_lstm_dev_9352da6b4340,D5,LSTM_21,21,GOOGL,2718,21,0.013678448487160495,50affb07c43d8141a60c4e9f57d80f604469e05840e776715a3c25439b3a0ee2
phase2f_lstm_dev_9352da6b4340,D5,LSTM_21,21,GOOGL,31415,33,0.013644919088779716,7fcd949292b6bac10013c3093ce74a885d661439084d8d8769afb2aafb04301d
phase2f_lstm_dev_9352da6b4340,D5,LSTM_21,21,MSFT,1729,24,0.012052413109740883,17810f6f724982990b539aa53fbb9af551666f9118a1b4a69dccc82935646d9e
phase2f_lstm_dev_9352da6b4340,D5,LSTM_21,21,MSFT,2718,26,0.012065669667725161,6248150fc50ab0c9a55b7d37b7a9f6cea9c1f26b178104a09ca5f308e60774f5
phase2f_lstm_dev_9352da6b4340,D5,LSTM_21,21,MSFT,31415,18,0.012170209592040919,151a73b853f7eba738de351b86175e14a3bab510cd9a8e66ed88e59ebb6aa457
phase2f_lstm_dev_9352da6b4340,D5,LSTM_21,21,NVDA,1729,12,0.021166688014622195,f8a3cd5ec5be77448935fdeb0b7f0ac0b35b2dfdb4d321b7892c2063613c5b4b
phase2f_lstm_dev_9352da6b4340,D5,LSTM_21,21,NVDA,2718,25,0.021084073652615189,d525c1fac130efdef4cd0424606a32eb27cd8d8928d668249e3e56b4b1bc8c56
phase2f_lstm_dev_9352da6b4340,D5,LSTM_21,21,NVDA,31415,13,0.021060608082552789,78ba0857d9e0d1e682812ee3ec3a62a6fb54695c8f4d46983c8435d3d92aadcf
