model,model_config_id,fold,asset,regime_dimension,regime_value,n_seeds,n_per_seed,all_seed_cells_reportable,sample_size_status,mae_mean,mae_std,mae_min,mae_max,rmse_mean,rmse_std,rmse_min,rmse_max,directional_accuracy_mean,directional_accuracy_std,directional_accuracy_min,directional_accuracy_max,actual_positive_direction_balance_mean,actual_positive_direction_balance_std,actual_positive_direction_balance_min,actual_positive_direction_balance_max,matched_baseline_mae_mean,matched_baseline_mae_std,matched_baseline_mae_min,matched_baseline_mae_max,mae_skill_mean,mae_skill_std,mae_skill_min,mae_skill_max,matched_direction_persistence_da_mean,matched_direction_persistence_da_std,matched_direction_persistence_da_min,matched_direction_persistence_da_max,da_difference_mean,da_difference_std,da_difference_min,da_difference_max
lstm_seed_mean,LSTM_63,D1,AAPL,transition,stable,3,162,True,reportable,0.016876891359357774,0.00014362192871502676,0.01668943482015528,0.017038339065197108,0.023618030877782168,0.00026897777241035681,0.023400852577111966,0.023997080288349265,0.52469135802469136,0,0.52469135802469136,0.52469135802469136,0.56172839506172845,0,0.56172839506172845,0.56172839506172845,0.016739507714311649,0,0.016739507714311649,0.016739507714311649,-0.0082071496600026137,0.0085798179472288769,-0.017851860161333777,0.0029913002825978641,0.43827160493827161,0,0.43827160493827161,0.43827160493827161,0.086419753086419748,0,0.086419753086419748,0.086419753086419748
lstm_seed_mean,LSTM_63,D1,AAPL,transition,transition,3,91,True,reportable,0.028132567917248701,0.00034246050597669029,0.027789723735247143,0.028600236860353394,0.039070352528901613,0.00041830517221901422,0.038483217009507693,0.039426552046176469,0.49816849816849818,0.0051802694592420874,0.49450549450549453,0.50549450549450547,0.50549450549450547,0,0.50549450549450547,0.50549450549450547,0.027070341012530624,0,0.027070341012530624,0.027070341012530624,-0.039239509551297548,0.012650764385205572,-0.05651557352434522,-0.026574571867547636,0.34065934065934061,5.5511151231257827e-17,0.34065934065934067,0.34065934065934067,0.1575091575091575,0.0051802694592420874,0.15384615384615385,0.1648351648351648
lstm_seed_mean,LSTM_63,D1,AAPL,trend,negative_trend,3,64,True,reportable,0.029676593658259216,0.00069721913839553712,0.028740898493602923,0.030413750931364815,0.042753983928514185,0.00089054470898595442,0.041709077967996534,0.043885315770543012,0.546875,0.012757759076995719,0.53125,0.5625,0.515625,0,0.515625,0.515625,0.028525808576348,0,0.028525808576348,0.028525808576348,-0.040341891758517358,0.024441695895471665,-0.06618365786069913,-0.00754018651843813,0.375,0,0.375,0.375,0.171875,0.012757759076995719,0.15625,0.1875
lstm_seed_mean,LSTM_63,D1,AAPL,trend,positive_trend,3,189,True,reportable,0.01796200045797355,0.00033634502433825645,0.017491603219402404,0.018258328379186537,0.024368226157267789,0.00044346178895480391,0.023830008117679942,0.024916133569795877,0.50440917107583771,0.0049884076274183242,0.49735449735449733,0.50793650793650791,0.55026455026455023,0,0.55026455026455023,0.55026455026455023,0.017722484301441809,0,0.017722484301441809,0.017722484301441809,-0.013514818377480883,0.018978435450547629,-0.030235268861326325,0.013027580000204764,0.41269841269841273,5.5511151231257827e-17,0.41269841269841268,0.41269841269841268,0.091710758377425039,0.0049884076274183242,0.084656084656084651,0.095238095238095233
lstm_seed_mean,LSTM_63,D1,AAPL,volatility,high_volatility,3,220,True,reportable,0.021669768430896495,0.00027515866036202804,0.021425032474981228,0.022054141497487956,0.031111336158106892,0.00030224755175033282,0.030716980699065075,0.031451318659087103,0.51818181818181819,0.0098193040884967872,0.50909090909090904,0.53181818181818186,0.54545454545454541,0,0.54545454545454541,0.54545454545454541,0.021132277004924687,3.4694469519536142e-18,0.021132277004924684,0.021132277004924684,-0.025434619555978477,0.013020776715065054,-0.043623528706747461,-0.013853474946799116,0.39545454545454545,0,0.39545454545454545,0.39545454545454545,0.12272727272727274,0.0098193040884967872,0.11363636363636359,0.13636363636363641
lstm_seed_mean,LSTM_63,D1,AAPL,volatility,low_volatility,3,33,True,reportable,0.015962758360253387,0.00035508954477130359,0.015482465254749686,0.016329876472076732,0.022251875140042662,0.00028251959451549576,0.021951132030713749,0.022630043026045408,0.49494949494949497,0.071424927392580551,0.39393939393939392,0.54545454545454541,0.51515151515151514,0,0.51515151515151514,0.51515151515151514,0.015942434568949782,0,0.015942434568949782,0.015942434568949782,-0.0012748235669843844,0.022273232060985981,-0.024302555638619383,0.028851886593027176,0.45454545454545453,0,0.45454545454545453,0.45454545454545453,0.040404040404040387,0.071424927392580551,-0.060606060606060608,0.090909090909090884
lstm_seed_mean,LSTM_63,D1,GOOGL,transition,stable,3,162,True,reportable,0.014500819575950044,0.0010409867797638629,0.013381064433306783,0.015888399707892145,0.019844517573999972,0.0011252655563134921,0.018738479245624655,0.021388416786660612,0.51851851851851849,0.043938593629758507,0.48148148148148145,0.58024691358024694,0.58024691358024694,0,0.58024691358024694,0.58024691358024694,0.013522833174096865,0,0.013522833174096865,0.013522833174096865,-0.072321117125553516,0.076979932116435834,-0.17493128128849134,0.01048365671342022,0.4753086419753087,5.5511151231257827e-17,0.47530864197530864,0.47530864197530864,0.043209876543209867,0.043938593629758507,0.0061728395061728114,0.10493827160493829
lstm_seed_mean,LSTM_63,D1,GOOGL,transition,transition,3,91,True,reportable,0.024587110334882423,0.0027753539395079662,0.022506032089227697,0.028509613932839652,0.034445758306828687,0.0043144258708843145,0.030441045687186693,0.040434731417722233,0.49816849816849818,0.013705704713457681,0.48351648351648352,0.51648351648351654,0.56043956043956045,0,0.56043956043956045,0.56043956043956045,0.022571858564219522,0,0.022571858564219522,0.022571858564219522,-0.089281605452616097,0.12295637648143885,-0.26306009989060208,0.0029163072595258521,0.36263736263736263,0,0.36263736263736263,0.36263736263736263,0.13553113553113558,0.013705704713457681,0.12087912087912089,0.15384615384615391
lstm_seed_mean,LSTM_63,D1,GOOGL,trend,negative_trend,3,64,True,reportable,0.027843303552591816,0.00297809834301187,0.025729238302847578,0.032054959879404141,0.039548855280837465,0.0048855409484870761,0.035044207337706218,0.046338124890202663,0.54166666666666663,0.00736569563735987,0.53125,0.546875,0.5625,0,0.5625,0.5625,0.026230955280477447,0,0.026230955280477447,0.026230955280477447,-0.061467386714442962,0.11353373566338773,-0.22202792603825783,0.019126904539510825,0.359375,0,0.359375,0.359375,0.18229166666666666,0.00736569563735987,0.171875,0.1875
lstm_seed_mean,LSTM_63,D1,GOOGL,trend,positive_trend,3,189,True,reportable,0.014839091981017634,0.0011941876810936949,0.013708563599091146,0.016490889885106205,0.019481540723446211,0.0012721065870530026,0.018387714951887946,0.021265402128502392,0.50088183421516752,0.035185074679470907,0.47089947089947087,0.55026455026455023,0.57671957671957674,0,0.57671957671957674,0.57671957671957674,0.0135764918814662,0,0.0135764918814662,0.0135764918814662,-0.092998994922617539,0.087959959871808005,-0.21466502754062433,-0.0097279708762794126,0.46031746031746029,0,0.46031746031746029,0.46031746031746029,0.040564373897707229,0.035185074679470907,0.010582010582010581,0.089947089947089942
