model,source_model,model_config_id,seed,fold,asset,regime_dimension,regime_value,n,mae,rmse,directional_accuracy,actual_positive_direction_balance,sample_size_status
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D2,MSFT,volatility,high_volatility,144,0.010699905945041591,0.013992496721427047,0.47222222222222221,0.54166666666666663,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D2,MSFT,volatility,low_volatility,108,0.0093745160670044916,0.01236745457228018,0.52777777777777779,0.5092592592592593,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D2,MSFT,transition,transition,52,0.012093613058002328,0.015509378718428744,0.42307692307692307,0.59615384615384615,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D2,MSFT,transition,stable,200,0.0096218315615317681,0.012689494974259613,0.51500000000000001,0.51000000000000001,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D2,GOOGL,trend,negative_trend,2,0.012898788048398951,0.013704465236317562,0,1,descriptive_low_n
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D2,GOOGL,trend,positive_trend,250,0.011043204576597829,0.015361732922884487,0.50800000000000001,0.56799999999999995,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D2,GOOGL,volatility,high_volatility,144,0.011450653560951141,0.016085258948520281,0.47222222222222221,0.59027777777777779,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D2,GOOGL,volatility,low_volatility,108,0.01053430192101195,0.014309222081321368,0.54629629629629628,0.54629629629629628,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D2,GOOGL,transition,transition,52,0.011622591469613558,0.016298396779631467,0.5,0.61538461538461542,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D2,GOOGL,transition,stable,200,0.010911119819131752,0.01509274196076503,0.505,0.56000000000000005,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D2,NVDA,trend,negative_trend,2,0.024336179130442649,0.026896957972871827,0,1,descriptive_low_n
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D2,NVDA,trend,positive_trend,250,0.021311011023833322,0.028285954877622019,0.48799999999999999,0.53200000000000003,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D2,NVDA,volatility,high_volatility,144,0.022279469343911042,0.029112380869268782,0.50694444444444442,0.55555555555555558,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D2,NVDA,volatility,low_volatility,108,0.020075754895333569,0.027118785321311532,0.45370370370370372,0.5092592592592593,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D2,NVDA,transition,transition,52,0.024057880641101412,0.031623213913048891,0.46153846153846156,0.51923076923076927,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D2,NVDA,transition,stable,200,0.020627076604409714,0.027337635715731043,0.48999999999999999,0.54000000000000004,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D3,AAPL,trend,negative_trend,196,0.018004695023122855,0.023178013932584528,0.5,0.48979591836734693,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D3,AAPL,trend,positive_trend,55,0.015062561618059524,0.019565812554808375,0.54545454545454541,0.40000000000000002,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D3,AAPL,volatility,high_volatility,251,0.017360004436355988,0.022436305666625085,0.50996015936254979,0.47011952191235062,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D3,AAPL,volatility,low_volatility,0,,,,,descriptive_low_n
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D3,AAPL,transition,transition,57,0.018209435665665723,0.023675007959343807,0.50877192982456143,0.54385964912280704,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D3,AAPL,transition,stable,194,0.017110429281352615,0.022059140132489146,0.51030927835051543,0.4484536082474227,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D3,MSFT,trend,negative_trend,196,0.018361954676141084,0.023320827704904682,0.5,0.48979591836734693,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D3,MSFT,trend,positive_trend,55,0.012996384342565779,0.017891038198574231,0.52727272727272723,0.36363636363636365,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D3,MSFT,volatility,high_volatility,251,0.017186232093086729,0.022244715167999203,0.50597609561752988,0.46215139442231074,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D3,MSFT,volatility,low_volatility,0,,,,,descriptive_low_n
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D3,MSFT,transition,transition,57,0.018201322357462277,0.022866730232916604,0.52631578947368418,0.50877192982456143,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D3,MSFT,transition,stable,194,0.016887983922625877,0.022058624624292367,0.5,0.4484536082474227,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D3,GOOGL,trend,negative_trend,196,0.020068293172923479,0.025549712367074602,0.52040816326530615,0.47448979591836737,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D3,GOOGL,trend,positive_trend,55,0.014087538845999751,0.019707446753936861,0.49090909090909091,0.36363636363636365,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D3,GOOGL,volatility,high_volatility,251,0.018757769316426243,0.024389559140793413,0.51394422310756971,0.45019920318725098,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D3,GOOGL,volatility,low_volatility,0,,,,,descriptive_low_n
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D3,GOOGL,transition,transition,57,0.017983269352253469,0.022574403408838303,0.49122807017543857,0.49122807017543857,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D3,GOOGL,transition,stable,194,0.018985328584250206,0.024897738177976969,0.52061855670103097,0.43814432989690721,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D3,NVDA,trend,negative_trend,196,0.032799896831423592,0.040506603667665356,0.5714285714285714,0.50510204081632648,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D3,NVDA,trend,positive_trend,55,0.029304358621432804,0.037212039331994892,0.50909090909090904,0.41818181818181815,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D3,NVDA,volatility,high_volatility,251,0.032033942243577009,0.039808021439038756,0.55776892430278879,0.48605577689243029,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D3,NVDA,volatility,low_volatility,0,,,,,descriptive_low_n
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D3,NVDA,transition,transition,57,0.032329553570205782,0.039937330894415431,0.47368421052631576,0.54385964912280704,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D3,NVDA,transition,stable,194,0.031947087369258241,0.039769948541214302,0.58247422680412375,0.46907216494845361,reportable
