model,aggregation,seed,fold,regime_dimension,regime_value,n_assets_required,n_assets_reportable,n_per_asset_min,n_per_asset_max,macro_status,macro_weighting,mae_skill_aggregation,mae,rmse,directional_accuracy,actual_positive_direction_balance,matched_baseline_mae,mae_skill,matched_direction_persistence_da,da_difference,mae_seed_std,mae_seed_min,mae_seed_max,rmse_seed_std,rmse_seed_min,rmse_seed_max,directional_accuracy_seed_std,directional_accuracy_seed_min,directional_accuracy_seed_max,actual_positive_direction_balance_seed_std,actual_positive_direction_balance_seed_min,actual_positive_direction_balance_seed_max,matched_baseline_mae_seed_std,matched_baseline_mae_seed_min,matched_baseline_mae_seed_max,mae_skill_seed_std,mae_skill_seed_min,mae_skill_seed_max,matched_direction_persistence_da_seed_std,matched_direction_persistence_da_seed_min,matched_direction_persistence_da_seed_max,da_difference_seed_std,da_difference_seed_min,da_difference_seed_max
persistence_baseline,deterministic,not_applicable,D4,volatility,low_volatility,4,4,115,115,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.012524522218060207,0.016596532917950064,0.50217391304347825,0.52391304347826095,,,,,,,,,,,,,,,,,,,,,,,,,,,,
persistence_baseline,deterministic,not_applicable,D4,transition,transition,4,0,3,3,unavailable_incomplete_assets,equal_asset_weight,arithmetic_mean_of_asset_level_skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
persistence_baseline,deterministic,not_applicable,D4,transition,stable,4,4,247,247,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.014306475681600289,0.019489928165451996,0.51720647773279349,0.55870445344129549,,,,,,,,,,,,,,,,,,,,,,,,,,,,
persistence_baseline,deterministic,not_applicable,D5,trend,negative_trend,4,0,0,0,unavailable_incomplete_assets,equal_asset_weight,arithmetic_mean_of_asset_level_skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
persistence_baseline,deterministic,not_applicable,D5,trend,positive_trend,4,4,252,252,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.014357184230814108,0.019369212006140224,0.51884920634920639,0.56150793650793651,,,,,,,,,,,,,,,,,,,,,,,,,,,,
persistence_baseline,deterministic,not_applicable,D5,volatility,high_volatility,4,4,93,93,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.014316646011121668,0.018871108287492635,0.5161290322580645,0.55376344086021501,,,,,,,,,,,,,,,,,,,,,,,,,,,,
persistence_baseline,deterministic,not_applicable,D5,volatility,low_volatility,4,4,159,159,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.014380895264973837,0.019636154940609281,0.52044025157232709,0.56603773584905659,,,,,,,,,,,,,,,,,,,,,,,,,,,,
persistence_baseline,deterministic,not_applicable,D5,transition,transition,4,4,35,35,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.015411930557210737,0.020675561627959714,0.52142857142857135,0.59285714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,
persistence_baseline,deterministic,not_applicable,D5,transition,stable,4,4,217,217,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.014187063855588846,0.019117226645668513,0.51843317972350234,0.55645161290322576,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lightgbm,deterministic,1729,D1,trend,negative_trend,4,4,64,64,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.031424024517103875,0.044146735820141191,0.52734375,0.54296875,0.031633387524639858,0.0068896454324497147,0.359375,0.16796875,,,,,,,,,,,,,,,,,,,,,,,,
