model,regime_dimension,degradation_metric,reportable_fold_count,median,q1,q3,iqr,minimum,maximum,quantile_interpolation,complete_five_fold_summary,summary_status
lightgbm,trend,mae_skill_degradation,3,0.024449377616384355,0.01308140580815742,0.031385355684086097,0.018303949875928677,0.001713433999930486,0.038321333751787839,linear,False,descriptive_incomplete
lightgbm,trend,mae_raw_degradation,3,0.0038686713614167929,0.0016872222259956705,0.0093575351491241316,0.0076703129231284611,-0.000494226909425452,0.01484639893683147,linear,False,descriptive_incomplete
lightgbm,trend,rmse_raw_degradation,3,0.003762600998051209,0.001054835936294931,0.012831815679538339,0.011776979743243408,-0.0016529291254613471,0.021901030361025468,linear,False,descriptive_incomplete
lightgbm,trend,da_degradation,3,0.09689239332096472,0.035663045205455907,0.10587604054516772,0.070212995339711815,-0.025566302910052907,0.11485968776937072,linear,False,descriptive_incomplete
lightgbm,trend,directional_stability_loss,3,-0.09689239332096472,-0.10587604054516772,-0.035663045205455907,0.070212995339711815,-0.11485968776937072,0.025566302910052907,linear,False,descriptive_incomplete
lightgbm,volatility,mae_skill_degradation,4,0.0053362425316001438,-0.0026449283145953406,0.011372243150837909,0.014017171465433249,-0.010778181172283935,0.013669985327653345,linear,False,descriptive_incomplete
lightgbm,volatility,mae_raw_degradation,4,0.0019927033109988978,0.00073730592611061154,0.0040203910181541118,0.0032830850920435002,-4.4520522954599046e-05,0.0071190884340201054,linear,False,descriptive_incomplete
lightgbm,volatility,rmse_raw_degradation,4,0.0029486164168858759,0.00076935542495784777,0.0061709830659685515,0.0054016276410107037,-0.00064273597951024913,0.010712391441900591,linear,False,descriptive_incomplete
lightgbm,volatility,da_degradation,4,-0.0084986319627601281,-0.035940814105756308,0.025127063204508776,0.061067877310265084,-0.042424242424242475,0.050161030595813116,linear,False,descriptive_incomplete
lightgbm,volatility,directional_stability_loss,4,0.0084986319627601281,-0.025127063204508776,0.035940814105756308,0.061067877310265084,-0.050161030595813116,0.042424242424242475,linear,False,descriptive_incomplete
lightgbm,transition,mae_skill_degradation,4,0.0062118233410112383,0.003536852229143253,0.012604691975569529,0.0090678397464262761,-0.0022717466273812215,0.02956698340016492,linear,False,descriptive_incomplete
lightgbm,transition,mae_raw_degradation,4,0.0014110895767590424,0.00094175402096953464,0.0044106898972723126,0.003468935876302778,0.00046203836409268451,0.01248119984832045,linear,False,descriptive_incomplete
lightgbm,transition,rmse_raw_degradation,4,0.001857099103636373,0.0013574425900334938,0.0059858747499890739,0.0046284321599555801,0.00027568979173979782,0.017954984946532235,linear,False,descriptive_incomplete
lightgbm,transition,da_degradation,4,0.020759299729203262,-0.0010781134437048701,0.038076427438540811,0.039154540882245681,-0.016754850088183448,0.040192307692307638,linear,False,descriptive_incomplete
lightgbm,transition,directional_stability_loss,4,-0.020759299729203262,-0.038076427438540811,0.0010781134437048701,0.039154540882245681,-0.040192307692307638,0.016754850088183448,linear,False,descriptive_incomplete
lstm_seed_mean,trend,mae_skill_degradation,3,0.042145160942289019,0.032849101598143866,0.057458122208358525,0.024609020610214659,0.023553042253998714,0.072771083474428039,linear,False,descriptive_incomplete
lstm_seed_mean,trend,mae_raw_degradation,3,0.0036270197725869757,0.0014414108131927143,0.0093858884462755237,0.0079444776330828103,-0.00074419814620154713,0.015144757119964072,linear,False,descriptive_incomplete
lstm_seed_mean,trend,rmse_raw_degradation,3,0.0036078543840745436,0.00091224133370104189,0.013110757359756878,0.012198516026055836,-0.0017833717166724598,0.022613660335439212,linear,False,descriptive_incomplete
lstm_seed_mean,trend,da_degradation,3,0.047653494268077523,0.040972696422845178,0.053764811814944191,0.012792115392099013,0.034291898577612834,0.059876129361810859,linear,False,descriptive_incomplete
lstm_seed_mean,trend,directional_stability_loss,3,-0.047653494268077523,-0.053764811814944191,-0.040972696422845178,0.012792115392099013,-0.059876129361810859,-0.034291898577612834,linear,False,descriptive_incomplete
lstm_seed_mean,volatility,mae_skill_degradation,4,-0.01034712217681337,-0.020350806660406628,-0.001563002426507208,0.018787804233899419,-0.042281725903829628,0.016709222617054511,linear,False,descriptive_incomplete
lstm_seed_mean,volatility,mae_raw_degradation,4,0.0022420278053170246,0.00083543938182267449,0.0045218218897875011,0.0036863825079648267,2.25044865637819e-05,0.007954373767974773,linear,False,descriptive_incomplete
lstm_seed_mean,volatility,rmse_raw_degradation,4,0.0031445588985463992,0.00074400386992383351,0.0068148333261169539,0.0060708294561931204,-0.00066238213890798189,0.012030377531792737,linear,False,descriptive_incomplete
lstm_seed_mean,volatility,da_degradation,4,-0.0034712829587549843,-0.013229938394117569,-0.00054713804713790726,0.012682800346979661,-0.034406870638754694,0.00012626262626269646,linear,False,descriptive_incomplete
lstm_seed_mean,volatility,directional_stability_loss,4,0.0034712829587549843,0.00054713804713790726,0.013229938394117569,0.012682800346979661,-0.00012626262626269646,0.034406870638754694,linear,False,descriptive_incomplete
lstm_seed_mean,transition,mae_skill_degradation,4,0.0022871673213048331,-0.026466144159631874,0.035051184613048847,0.061517328772680721,-0.057349608690907682,0.07796676657674656,linear,False,descriptive_incomplete
lstm_seed_mean,transition,mae_raw_degradation,4,0.0014600230667248413,0.0011844783712686249,0.0045014669965725415,0.0033169886253039166,0.0011562375134140587,0.012827405557601559,linear,False,descriptive_incomplete
lstm_seed_mean,transition,rmse_raw_degradation,4,0.0016455088071336745,0.0015887225848195026,0.0058103764118016734,0.0042216538269821708,0.0015532777601762471,0.01817006538350641,linear,False,descriptive_incomplete
lstm_seed_mean,transition,da_degradation,4,-0.0087033986435626765,-0.017042252288519799,0.010141517433184088,0.027183769721703888,-0.026344086021505397,0.050961538461538614,linear,False,descriptive_incomplete
lstm_seed_mean,transition,directional_stability_loss,4,0.0087033986435626765,-0.010141517433184088,0.017042252288519799,0.027183769721703888,-0.050961538461538614,0.026344086021505397,linear,False,descriptive_incomplete
